mean_radius,mean_texture,mean_perimeter,mean_area,mean_smoothness,diagnosis
17.99,10.38,122.80,1001.0,0.1184,malignant
20.57,17.77,132.90,1326.0,0.0847,malignant
19.69,21.25,130.00,1203.0,0.1096,malignant
11.42,20.38,77.58,386.1,0.1425,malignant
20.29,14.34,135.10,1297.0,0.1003,malignant
12.45,15.70,82.57,477.1,0.1278,malignant
18.25,19.98,119.60,1040.0,0.0946,malignant
13.71,20.83,90.20,577.9,0.1189,malignant
13.00,21.82,87.50,519.8,0.1273,malignant
12.46,24.04,83.97,475.9,0.1186,malignant
16.02,23.24,102.70,797.8,0.0821,malignant
15.78,17.89,103.60,781.0,0.0971,malignant
19.17,24.80,132.40,1123.0,0.0974,malignant
15.85,23.95,103.70,782.7,0.0840,malignant
13.73,22.61,93.60,578.3,0.1131,malignant
14.54,27.54,96.73,658.8,0.1139,malignant
14.68,20.13,94.74,684.5,0.0987,benign
16.13,20.68,108.10,798.8,0.1170,malignant
19.81,22.15,130.00,1260.0,0.0983,malignant
13.54,14.36,87.46,566.3,0.0978,benign
13.08,15.71,85.63,520.0,0.1075,benign
9.50,12.44,60.34,273.9,0.1024,benign
15.34,14.26,102.50,704.4,0.1073,malignant
21.16,23.04,137.20,1404.0,0.0943,malignant
12.05,14.63,78.04,449.3,0.1031,benign
17.14,16.40,116.00,912.7,0.1186,malignant
14.58,21.53,97.41,644.8,0.1054,malignant
18.61,20.25,122.10,1094.0,0.0944,malignant
15.30,25.27,102.40,732.4,0.1082,malignant
17.57,15.05,115.00,955.1,0.0985,malignant
11.84,18.70,77.93,440.6,0.1109,benign
12.30,15.90,78.83,463.7,0.0808,benign
14.22,23.12,94.37,609.9,0.1075,malignant
12.77,21.41,82.02,507.4,0.0875,benign
9.04,14.83,58.79,244.0,0.0978,benign
12.95,16.02,83.14,513.7,0.1005,benign
11.54,14.44,74.65,402.9,0.0998,benign
14.87,16.67,98.64,682.5,0.1162,malignant
13.37,15.10,86.49,551.7,0.0712,benign
11.63,15.29,73.93,415.1,0.0882,benign
13.30,21.57,85.63,545.2,0.0858,benign
12.70,12.17,80.88,495.0,0.0879,benign
11.16,21.41,70.95,380.3,0.1018,benign
11.57,19.04,74.20,409.7,0.0855,benign
14.69,13.98,98.22,656.1,0.1031,benign
11.61,16.02,75.46,408.2,0.1088,benign
13.66,19.13,89.46,575.3,0.0906,benign
9.74,11.97,61.24,288.5,0.0925,benign
11.87,21.54,76.83,432.0,0.0661,benign
12.00,15.65,76.95,443.3,0.0972,benign

